breakpoints,primitives,p_bp,q_bp
13679,movec_fit,"[array([ 1648.52298922, -1210.00414057,  -192.00072117]), array([ 1647.4758971 , -1269.99501575,  -191.50209954])]","[array([-0.61967757,  0.98152539,  0.73185953,  0.07641149, -0.9433194 ,
       -0.19876927]), array([-0.64550929,  1.06319371,  0.86215213,  0.06251408, -0.99008125,
       -0.16414923])]"
14039,movec_fit,"[array([ 1648.52299002, -1210.00414104,  -191.00072089]), array([ 1647.47589787, -1269.99501626,  -190.50209926])]","[array([-0.61967757,  0.98138207,  0.73254456,  0.07636568, -0.94414533,
       -0.1986912 ]), array([-0.64550929,  1.06314696,  0.86298613,  0.06247802, -0.99096027,
       -0.16408346])]"
14399,movec_fit,"[array([ 1648.52299082, -1210.00414151,  -190.00072062]), array([ 1647.47589864, -1269.99501676,  -189.50209899])]","[array([-0.61967757,  0.98124041,  0.73323217,  0.07631993, -0.94497219,
       -0.19861314]), array([-0.64550929,  1.06310247,  0.86382372,  0.062442  , -0.99184063,
       -0.16401766])]"
14759,movec_fit,"[array([ 1648.52299161, -1210.00414197,  -189.00072034]), array([ 1647.47589942, -1269.99501726,  -188.50209871])]","[array([-0.61967757,  0.9811004 ,  0.73392236,  0.07627424, -0.94579996,
       -0.19853509]), array([-0.64550929,  1.06306022,  0.86466491,  0.06240601, -0.99272235,
       -0.16395184])]"
15119,movec_fit,"[array([ 1648.52299241, -1210.00414244,  -188.00072006]), array([ 1647.47590019, -1269.99501777,  -187.50209843])]","[array([-0.61967757,  0.98096207,  0.73461514,  0.0762286 , -0.94662866,
       -0.19845704]), array([-0.64550929,  1.06302025,  0.86550973,  0.06237005, -0.99360542,
       -0.16388599])]"
15479,movec_fit,"[array([ 1648.5229932 , -1210.00414291,  -187.00071979]), array([ 1647.47590096, -1269.99501827,  -186.50209815])]","[array([-0.61967757,  0.98082541,  0.73531051,  0.07618302, -0.94745828,
       -0.198379  ]), array([-0.64550929,  1.06298255,  0.86635819,  0.06233413, -0.99448985,
       -0.16382012])]"
15839,movec_fit,"[array([ 1648.522994  , -1210.00414338,  -186.00071951]), array([ 1647.47590173, -1269.99501878,  -185.50209787])]","[array([-0.61967757,  0.98069042,  0.73600849,  0.07613749, -0.94828883,
       -0.19830097]), array([-0.64550929,  1.06294714,  0.86721031,  0.06229824, -0.99537566,
       -0.16375422])]"
16199,movec_fit,"[array([ 1648.52299479, -1210.00414385,  -185.00071923]), array([ 1647.4759025 , -1269.99501928,  -184.50209759])]","[array([-0.61967757,  0.98055712,  0.73670908,  0.07609202, -0.94912031,
       -0.19822294]), array([-0.64550929,  1.06291403,  0.8680661 ,  0.06226239, -0.99626284,
       -0.16368829])]"
16559,movec_fit,"[array([ 1648.52299559, -1210.00414432,  -184.00071896]), array([ 1647.47590327, -1269.99501979,  -183.50209731])]","[array([-0.61967757,  0.9804255 ,  0.73741229,  0.07604661, -0.94995272,
       -0.19814492]), array([-0.64550929,  1.06288323,  0.86892559,  0.06222657, -0.9971514 ,
       -0.16362234])]"
16919,movec_fit,"[array([ 1648.52299639, -1210.00414479,  -183.00071868]), array([ 1647.47590405, -1269.99502029,  -182.50209703])]","[array([-0.61967757,  0.98029557,  0.73811812,  0.07600125, -0.95078607,
       -0.1980669 ]), array([-0.64550929,  1.06285474,  0.86978878,  0.06219079, -0.99804135,
       -0.16355636])]"
